사건번호,법원,물건번호,물건주소,용도,비고,감정평가액,감정가_원,입찰기일,유찰횟수_입찰란,링크,진행상태,최저입찰가_표시,최저입찰가_원,최저입찰가율,유찰횟수,유찰횟수_원문
2024타경102171,수원지방법원,1,"경기도 수원시 영통구 동수원로 432 1동 8층807호 (매탄동,동남아파트)[집합건물 철근콩크리트조
49.68㎡]",지도,,"292,000,000",292000000,2026.04.20,0,moveDtlPage(7),아파트,"204,400,000(70%)",204400000,70.0,1,유찰 1회
2024타경102461,수원지방법원,1,경기도 화성시 남양읍 고향의봄길 36 208동 9층904호 (화성시청역서희스타힐스4차숲속마을)[집합건물 철근콘크리트구조 59.8855㎡],지도,대지권 미등기이며 대지권 유무는 알 수 없음. 최저매각가격에는 대지권 가격이 포함됨,"296,000,000",296000000,2026.04.29,0,moveDtlPage(8),아파트,"207,200,000(70%)",207200000,70.0,1,유찰 1회
2024타경102461,수원지방법원,2,경기도 화성시 남양읍 고향의봄길 36 205동 16층1602호 (화성시청역서희스타힐스4차숲속마을)[집합건물 철근콘크리트구조 84.9047㎡],지도,대지권 미등기이며 대지권 유무는 알 수 없음. 최저매각가격에는 대지권 가격이 포함됨,"380,000,000",380000000,2026.04.29,0,moveDtlPage(9),아파트,"266,000,000(70%)",266000000,70.0,1,유찰 1회
2024타경103242,수원지방법원,1,"경기도 수원시 장안구 경수대로976번길 22 148동 3층301호 (조원동,수원한일아파트)[집합건물 철근콘크리트 벽식구조 
59.842㎡]",지도,,"422,000,000",422000000,2026.04.29,0,moveDtlPage(0),아파트,"295,400,000(70%)",295400000,70.0,1,유찰 1회
2024타경103761,수원지방법원,1,"경기도 용인시 처인구 학산로 4 4층402호 (역북동,동산2차아파트)[집합건물 철근콘크리트조
58.50㎡]",지도,,"115,000,000",115000000,2026.04.21,0,moveDtlPage(1),아파트,"39,445,000(34%)",39445000,34.0,3,유찰 3회
2025타경853,수원지방법원,1,"경기도 용인시 기흥구 고매동 385-1 102동 14층1404호[집합건물 철근콘크리트조
133.35㎡]",지도,,"365,000,000",365000000,2026.04.20,0,moveDtlPage(2),아파트,"365,000,000(100%)",365000000,100.0,0,신건
2025타경927,수원지방법원,1,"경기도 용인시 기흥구 중동 956 동백역한라비발디 4004동 16층1601호[집합건물 철근콘크리트구조
128.295㎡]",지도,,"663,000,000",663000000,2026.04.29,0,moveDtlPage(3),아파트,"464,100,000(70%)",464100000,70.0,1,유찰 1회
2025타경974,수원지방법원,1,"경기도 용인시 기흥구 서천동 708 서그내마을서천아이파크 102동 2층203호[집합건물 철근콘크리트구조
122.4875㎡]",지도,,"713,000,000",713000000,2026.04.27,0,moveDtlPage(4),아파트,"713,000,000(100%)",713000000,100.0,0,신건
2025타경1090,수원지방법원,1,경기도 화성시 장지동 1011 동탄2아이파크 3433동 4층404호[집합건물 철근콘크리트구조 84.8688㎡],지도,,"535,000,000",535000000,2026.04.29,0,moveDtlPage(5),아파트,"535,000,000(100%)",535000000,100.0,0,신건
2025타경1140,수원지방법원,1,"경기도 수원시 장안구 파장동 560 노송아파트 1동 2층208호[집합건물 철근콘크리트조
51.84㎡]",지도,,"253,000,000",253000000,2026.04.22,0,moveDtlPage(6),아파트,"253,000,000(100%)",253000000,100.0,0,신건
2025타경1220,수원지방법원,1,"경기도 용인시 수지구 상현동 840 상현마을금호베스트빌4단지아파트 133동 11층1104호[집합건물 철근콘크리트조
174.951㎡]",지도,,"803,000,000",803000000,2026.04.27,0,moveDtlPage(7),아파트,"562,100,000(70%)",562100000,70.0,1,유찰 1회
2025타경1265,수원지방법원,1,경기도 화성시 반월동 944 에스케이뷰파크 112동 24층2404호[집합건물 철근콘크리트구조 115.4801㎡],지도,,"812,000,000",812000000,2026.04.28,0,moveDtlPage(8),아파트,"568,400,000(70%)",568400000,70.0,1,유찰 1회
2025타경1265,수원지방법원,2,경기도 화성시 봉담읍 와우리 237 신일해피트리2차아파트 101동 11층1104호[집합건물 철근콘크리트구조 84.626㎡],지도,,"260,000,000",260000000,2026.04.28,0,moveDtlPage(9),아파트,"182,000,000(70%)",182000000,70.0,1,유찰 1회
2025타경1574,수원지방법원,1,경기도 수원시 영통구 매탄동 1258 매탄 에듀파크시티1 103동 17층1704호[집합건물 철근콘크리트조  84.51㎡],지도,본건 아파트 단지 명칭이 '주공그린빌'에서 '매탄 에듀파크시티1' 로 변경되었음,"513,000,000",513000000,2026.04.27,0,moveDtlPage(0),아파트,"359,100,000(70%)",359100000,70.0,1,유찰 1회
2025타경1646,수원지방법원,1,경기도 화성시 새솔동 송산그린시티이에이비9블록 송산신도시대방노블랜드더센트럴3차 307동 1층101호[집합건물 철근콘크리트구조 115.1388㎡],지도,,"830,000,000",830000000,2026.04.27,0,moveDtlPage(1),아파트,"830,000,000(100%)",830000000,100.0,0,신건
2025타경1732,수원지방법원,1,경기도 용인시 기흥구 구갈동 660 힐스테이트기흥 205동 23층2301호[집합건물 철근콘크리트구조 95.9886㎡],지도,,"1,110,000,000",1110000000,2026.04.27,0,moveDtlPage(2),아파트,"777,000,000(70%)",777000000,70.0,1,유찰 1회
2025타경50918,수원지방법원,1,"경기도 오산시 수목원로 577-15 205동 9층904호 (궐동,세마역에듀파크)[집합건물 철근콘크리트구조 59.76㎡]",지도,,"341,000,000",341000000,2026.04.20,0,moveDtlPage(3),아파트,"238,700,000(70%)",238700000,70.0,1,유찰 1회
